"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"229","I192073746","Simple Assault",42.30082268,-71.08589873,"Mattapan","2019"
"230","I192073732","Simple Assault",42.35521625,-71.06012863,"Downtown","2019"
"231","I192073711","Simple Assault",42.28241807,-71.06022237,"Dorchester","2019"
"232","I192073710","Simple Assault",42.29350272,-71.07344862,"Mattapan","2019"
"233","I192073697","Simple Assault",42.28413536,-71.06957385,"Dorchester","2019"
"234","I192073673","Simple Assault",42.25940183,-71.1173157,"Hyde Park","2019"
"235","I192073663","Simple Assault",42.35594239,-71.06258333,"Downtown","2019"
"236","I192073659","Simple Assault",42.28716674,-71.07633479,"Mattapan","2019"
"237","I192073608","Simple Assault",42.25466263,-71.12430955,"Hyde Park","2019"
"238","I192073607","Simple Assault",42.26701085,-71.12096171,"Hyde Park","2019"
"239","I192073596","Simple Assault",42.33600039,-71.08641394,"South End","2019"
"240","I192073573","Simple Assault",42.35540738,-71.06312433,"Downtown","2019"
"241","I192073558","Simple Assault",42.29451627,-71.05875403,"Dorchester","2019"
"242","I192073532","Simple Assault",42.29666202,-71.06121836,"Dorchester","2019"
"243","I192073518","Simple Assault",42.29240858,-71.06436304,"Dorchester","2019"
"244","I192073510","Simple Assault",42.34988575,-71.14522971,"Brighton","2019"
"245","I192073471","Simple Assault",42.36242887,-71.06054873,"Downtown","2019"
"246","I192073442","Simple Assault",42.32469443,-71.10087902,"Jamaica Plain","2019"
"247","I192073441","Simple Assault",42.29380964,-71.07001148,"Dorchester","2019"
"248","I192073415","Simple Assault",42.35125902,-71.06009371,"Downtown","2019"
"249","I192073364","Simple Assault",42.26541314,-71.15270131,"West Roxbury","2019"
"250","I192073352","Simple Assault",42.32579168,-71.07460835,"Roxbury","2019"
"251","I192073288","Simple Assault",42.35167293,-71.16115206,"Brighton","2016"
"252","I192073283","Simple Assault",42.2991807,-71.06429139,"Dorchester","2019"
"253","I192073266","Simple Assault",42.27380942,-71.11996035,"Hyde Park","2019"
"254","I192073211","Simple Assault",42.32747841,-71.07879693,"Roxbury","2019"
"255","I192073153","Simple Assault",42.32561013,-71.10449956,"Jamaica Plain","2019"
"256","I192073121","Simple Assault",42.36865862,-71.03924873,"East Boston","2019"
"257","I192073012","Simple Assault",42.36293611,-71.05253795,"Downtown","2019"
"258","I192073011","Simple Assault",42.34750472,-71.0934647,"South End","2019"
"259","I192073007","Simple Assault",42.33587516,-71.07778792,"South End","2019"
"260","I192072986","Simple Assault",42.32635435,-71.07422322,"Roxbury","2019"
"261","I192072958","Simple Assault",42.32270922,-71.09932317,"Jamaica Plain","2019"
"262","I192072931","Simple Assault",42.30288397,-71.06918798,"Dorchester","2019"
"263","I192072907","Simple Assault",42.33511904,-71.0749171,"South End","2017"
"264","I192072893","Simple Assault",42.32270922,-71.09932317,"Jamaica Plain","2019"
"265","I192072877","Simple Assault",42.33677663,-71.07464452,"South End","2019"
"266","I192072854","Simple Assault",42.35478278,-71.13598711,"Brighton","2019"
"267","I192072842","Simple Assault",42.28898462,-71.15224773,"West Roxbury","2019"
"268","I192072834","Simple Assault",42.3169665,-71.08254058,"Roxbury","2019"
"269","I192072821","Simple Assault",42.35329808,-71.13504948,"Brighton","2019"
"270","I192072817","Simple Assault",42.36237545,-71.13035254,"Brighton","2019"
"271","I192072791","Simple Assault",42.30098889,-71.12708146,"Jamaica Plain","2019"
"272","I192072779","Simple Assault",42.29335822,-71.06529054,"Dorchester","2019"
"273","I192072729","Simple Assault",42.25767476,-71.12367146,"Hyde Park","2019"
