"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"441","I192073877","Motor Vehicle Accident Response",42.27531312,-71.11587798,"Hyde Park","2019"
"442","I192073865","Motor Vehicle Accident Response",42.29963709,-71.05851176,"Dorchester","2019"
"443","I192073860","Motor Vehicle Accident Response",42.30878855,-71.09055618,"Roxbury","2019"
"444","I192073810","Motor Vehicle Accident Response",42.38477055,-71.01448334,"East Boston","2019"
"445","I192073772","Motor Vehicle Accident Response",42.28080043,-71.12372368,"West Roxbury","2019"
"446","I192073769","Motor Vehicle Accident Response",42.30597541,-71.07011898,"Dorchester","2019"
"447","I192073763","Motor Vehicle Accident Response",42.29549707,-71.07211394,"Dorchester","2019"
"448","I192073731","Motor Vehicle Accident Response",42.28529234,-71.09121672,"Mattapan","2019"
"449","I192073714","Motor Vehicle Accident Response",42.28279696,-71.06605881,"Dorchester","2019"
"450","I192073705","Motor Vehicle Accident Response",42.30600379,-71.06178187,"Dorchester","2019"
"451","I192073690","Motor Vehicle Accident Response",42.3244404,-71.09163499,"Roxbury","2019"
"452","I192073688","Motor Vehicle Accident Response",42.33428841,-71.07239518,"South End","2019"
"453","I192073686","Motor Vehicle Accident Response",42.35179211,-71.13023989,"Brighton","2019"
"454","I192073684","Motor Vehicle Accident Response",42.36265413,-71.13023699,"Brighton","2019"
"455","I192073656","Motor Vehicle Accident Response",42.2445177,-71.13722687,"Hyde Park","2019"
"456","I192073649","Motor Vehicle Accident Response",42.32492546,-71.09839601,"Jamaica Plain","2019"
"457","I192073646","Motor Vehicle Accident Response",42.30536545,-71.06812632,"Dorchester","2019"
"458","I192073620","Motor Vehicle Accident Response",42.34767067,-71.07620742,"South End","2019"
"459","I192073602","Motor Vehicle Accident Response",42.29549707,-71.07211394,"Dorchester","2019"
"460","I192073599","Motor Vehicle Accident Response",42.33280389,-71.05104009,"South Boston","2019"
"461","I192073597","Motor Vehicle Accident Response",42.33087901,-71.05696637,"South Boston","2019"
"462","I192073589","Motor Vehicle Accident Response",42.29708829,-71.09095546,"Mattapan","2019"
"463","I192073583","Motor Vehicle Accident Response",42.25719149,-71.12001776,"Hyde Park","2019"
"464","I192073578","Motor Vehicle Accident Response",42.35061995,-71.07009458,"South End","2019"
"465","I192073571","Motor Vehicle Accident Response",42.26042127,-71.11568727,"Hyde Park","2019"
